Timestamp,AgeRange(Low),AgeRange(High),Smile,Eyeglasses,Gender,EyesOpen,Dominant emotion,Pose
38666, 30, 46,  False, False, Male, False, CALM, 28.175689697265625
38833, 29, 45,  False, False, Male, False, CALM, 29.238462448120117
39166, 31, 47,  False, False, Male, True, CALM, 19.809921264648438
39333, 32, 48,  False, False, Male, True, CALM, 20.461084365844727
39666, 31, 47,  False, False, Male, False, CALM, 24.237064361572266
39833, 32, 48,  False, False, Male, True, CALM, 20.684429168701172
40333, 31, 47,  False, False, Male, True, CALM, 15.011430740356445
40833, 25, 39,  False, False, Male, True, CALM, 19.025447845458984
41333, 26, 42,  False, False, Male, True, SURPRISED, 9.754724502563477
41833, 26, 40,  False, False, Male, True, FEAR, 12.394176483154297
42333, 28, 44,  False, False, Male, True, FEAR, 16.072973251342773
42833, 30, 46,  False, False, Male, False, CALM, 19.873455047607422
43333, 31, 47,  False, False, Male, True, CONFUSED, 19.87689781188965
43833, 32, 48,  False, False, Male, False, CALM, 20.29383659362793
44333, 29, 45,  False, False, Male, True, CALM, 15.481938362121582
44833, 28, 44,  False, False, Male, True, FEAR, 10.544812202453613
45333, 29, 45,  False, False, Male, True, CALM, 15.173328399658203
45833, 26, 42,  False, False, Male, True, FEAR, 11.534282684326172
46333, 28, 44,  False, False, Male, True, FEAR, 7.330328464508057
46833, 32, 48,  False, False, Male, False, CALM, 24.533283233642578
47333, 30, 46,  False, False, Male, True, CALM, 18.827417373657227
47833, 29, 45,  False, False, Male, True, FEAR, 13.31002140045166
48333, 31, 47,  False, False, Male, True, CALM, 23.460758209228516
48833, 30, 46,  False, False, Male, True, CALM, 16.59391975402832
49333, 29, 45,  False, False, Male, True, CALM, 14.348081588745117
49833, 30, 46,  False, False, Male, True, CALM, 18.57273292541504
50333, 32, 48,  False, False, Male, True, CALM, 21.495628356933594
50833, 30, 46,  False, False, Male, True, CONFUSED, 12.354574203491211
51333, 30, 46,  False, False, Male, True, FEAR, 18.65885353088379
51833, 31, 47,  False, False, Male, True, CALM, 18.22551155090332
52333, 31, 47,  False, False, Male, True, CALM, 13.003975868225098
52833, 29, 45,  False, False, Male, False, CALM, 21.145984649658203
53333, 28, 44,  False, False, Male, True, CALM, 13.810717582702637
53833, 23, 37,  True, False, Male, True, HAPPY, 8.223406791687012
54333, 26, 42,  True, False, Male, True, HAPPY, 9.258092880249023
54833, 28, 44,  False, False, Male, True, CALM, 18.09086799621582
55333, 31, 47,  False, False, Male, False, CALM, 20.7481746673584
55833, 27, 43,  False, False, Male, True, FEAR, 13.660297393798828
56333, 30, 46,  False, False, Male, True, HAPPY, 22.1076602935791
56833, 30, 46,  False, False, Male, True, CALM, 22.244234085083008
57333, 30, 46,  False, False, Male, True, SURPRISED, 18.048173904418945
57833, 30, 46,  False, False, Male, True, CALM, 18.2686824798584
58333, 31, 47,  False, False, Male, True, CALM, 17.87090492248535
58833, 27, 43,  False, False, Male, True, HAPPY, 16.00161361694336
